"curveID","param","param_value","PARi","assim"
"theta_0.3","theta",0.3,150,9.6179019969971
"theta_0.3","theta",0.3,200,12.1391246202903
"theta_0.3","theta",0.3,250,14.2917579964767
"theta_0.3","theta",0.3,300,16.1406191994119
"theta_0.3","theta",0.3,350,17.7387345591939
"theta_0.3","theta",0.3,400,19.1291129200619
"theta_0.3","theta",0.3,500,21.4190930040661
"theta_0.3","theta",0.3,600,23.2166763478339
"theta_0.3","theta",0.3,800,25.8369719982815
"theta_0.3","theta",0.3,1000,27.6413976373991
"theta_0.3","theta",0.3,1250,29.2265312824647
"theta_0.3","theta",0.3,1500,30.3584102160939
"theta_0.3","theta",0.3,1800,31.3497605073216
"theta_0.4","theta",0.4,0,-1
"theta_0.4","theta",0.4,10,-0.112727480473968
"theta_0.4","theta",0.4,20,0.749348962748432
"theta_0.4","theta",0.4,30,1.5866408955533
"theta_0.4","theta",0.4,40,2.39958847910853
"theta_0.4","theta",0.4,50,3.18865742109449
"theta_0.4","theta",0.4,60,3.95433589046598
"theta_0.4","theta",0.4,70,4.69713143662462
"theta_0.4","theta",0.4,80,5.41756795042797
"theta_0.4","theta",0.4,90,6.11618270044329
"theta_0.4","theta",0.4,100,6.79352347345825
"theta_0.4","theta",0.4,150,9.88069539661254
"theta_0.4","theta",0.4,200,12.5199150142282
"theta_0.4","theta",0.4,250,14.7781903523672
"theta_0.4","theta",0.4,300,16.7160523814237
"theta_0.4","theta",0.4,350,18.3859962660583
"theta_0.4","theta",0.4,400,19.832364347636
"theta_0.4","theta",0.4,500,22.1952825714099
"theta_0.4","theta",0.4,600,24.0277820657954
"theta_0.4","theta",0.4,800,26.6535162146735
"theta_0.4","theta",0.4,1000,28.424351427994
"theta_0.4","theta",0.4,1250,29.9514792498431
"theta_0.4","theta",0.4,1500,31.0244249567938
"theta_0.4","theta",0.4,1800,31.9516182967493
"theta_0.5","theta",0.5,0,-1
"theta_0.5","theta",0.5,10,-0.110656400541146
"theta_0.5","theta",0.5,20,0.757392308097494
"theta_0.5","theta",0.5,30,1.60419970652933
"theta_0.5","theta",0.5,40,2.42985459812866
"theta_0.5","theta",0.5,50,3.23448027270504
"theta_0.5","theta",0.5,60,4.01823349557762
"theta_0.5","theta",0.5,70,4.78130324115313
"theta_0.5","theta",0.5,80,5.523909194439
"theta_0.5","theta",0.5,90,6.24630004748582
"theta_0.5","theta",0.5,100,6.94875162046673
"theta_0.5","theta",0.5,150,10.1732098971416
"theta_0.5","theta",0.5,200,12.9524079167427
"theta_0.5","theta",0.5,250,15.3383650664969
"theta_0.5","theta",0.5,300,17.3845519167733
"theta_0.5","theta",0.5,350,19.1416167201558
"theta_0.5","theta",0.5,400,20.6549906867904
"theta_0.5","theta",0.5,500,23.1017827094911
"theta_0.5","theta",0.5,600,24.9697039231233
"theta_0.5","theta",0.5,800,27.5874702518095
"theta_0.5","theta",0.5,1000,29.3066020654415
"theta_0.5","theta",0.5,1250,30.7555264443856
"theta_0.5","theta",0.5,1500,31.7537879299409
"theta_0.5","theta",0.5,1800,32.6028846403881
"theta_0.6","theta",0.6,0,-1
"theta_0.6","theta",0.6,10,-0.108565731807067
"theta_0.6","theta",0.6,20,0.76558742123662
"theta_0.6","theta",0.6,30,1.622253782291
"theta_0.6","theta",0.6,40,2.4612540307508
"theta_0.6","theta",0.6,50,3.28243666530358
"theta_0.6","theta",0.6,60,4.08567926636392
"theta_0.6","theta",0.6,70,4.8708895338942
"theta_0.6","theta",0.6,80,5.63800608039937
"theta_0.6","theta",0.6,90,6.38699896335766
