SPAD,Treatment,Pot,Photo,Cond,Ci,PARi,Date
57.3,ELEC ,pot 5,16.6981515,0.288116265,287.9390545,499.5291748,3/29/17
57.3,ELEC ,pot 5,9.502691661,0.283161715,330.5454357,249.0081482,3/29/17
57.3,ELEC ,pot 5,1.842615877,0.276582725,377.1541153,98.06800079,3/29/17
57.3,ELEC ,pot 5,-0.724187333,0.26955959,393.4378941,48.49682999,3/29/17
57.3,ELEC ,pot 5,-3.826094462,0.257326935,414.3954589,1.474806428,3/29/17
51.9,ELAC,pot 1,22.25516098,0.238988567,227.4218554,1992.257935,3/29/17
51.9,ELAC,pot 1,22.10234196,0.246029573,233.3792729,1498.082275,3/29/17
51.9,ELAC,pot 1,21.54990658,0.248670212,238.8440514,1250.559326,3/29/17
51.9,ELAC,pot 1,20.91974376,0.250456865,244.4048487,997.8959351,3/29/17
51.9,ELAC,pot 1,19.80853547,0.248819888,251.4832319,799.2370605,3/29/17
51.9,ELAC,pot 1,16.75824509,0.241726047,269.9555799,501.5394897,3/29/17
51.9,ELAC,pot 1,9.640820569,0.227050344,315.9922577,249.9216614,3/29/17
51.9,ELAC,pot 1,2.387295404,0.214634137,369.4927568,98.37731934,3/29/17
51.9,ELAC,pot 1,-0.262239382,0.199713098,390.6216356,48.64604568,3/29/17
51.9,ELAC,pot 1,-2.907813937,0.186477341,414.6730354,1.536922216,3/29/17
